instrument,timestamp,direction,entry,outcome,pnl_points,entry_range,leg1_reason,leg2_reason
GBPUSD,2025-07-16 15:30:00+00:00,short,1.3467699999999998,tp1_only,0.006799999999999917,0.007149999999999768,tp1,sl
GBPUSD,2025-07-16 15:45:00+00:00,short,1.3467699999999998,tp1_only,0.006799999999999917,0.007149999999999768,tp1,sl
GBPUSD,2025-07-21 09:00:00+00:00,short,1.3458899999999998,loss,-0.0034199999999997566,0.0045399999999997664,sl,sl
GBPUSD,2026-03-23 11:15:00+00:00,short,1.3432533333333334,timeout,0.00790666666666695,0.01253666666666664,time_stop,time_stop
GBPUSD,2026-05-10 21:45:00+00:00,long,1.3578233333333334,tp1_only,0.004650000000000043,0.005033333333333223,tp1,sl
GBPUSD,2026-05-18 08:15:00+00:00,short,1.3356866666666671,loss,-0.0034200000000002007,0.004423333333333668,sl,sl
USDJPY,2025-10-05 21:30:00+00:00,short,149.37066666666664,loss,-1.5179999999999723,1.9143333333333032,sl,sl
USDJPY,2025-12-01 13:15:00+00:00,long,154.72433333333336,tp1_only,2.248999999999967,1.5283333333333076,tp1,time_stop
USDJPY,2025-12-01 14:00:00+00:00,long,154.72433333333336,timeout,0.8273333333332857,1.5283333333333076,time_stop,time_stop
USDJPY,2025-12-19 11:00:00+00:00,short,157.32000000000005,timeout,-0.15199999999987313,1.712000000000046,time_stop,time_stop
USDJPY,2025-12-19 11:30:00+00:00,short,157.32000000000005,timeout,-0.11999999999989086,1.712000000000046,time_stop,time_stop
USDJPY,2025-12-19 11:45:00+00:00,short,157.32000000000005,timeout,-0.1079999999998904,1.712000000000046,time_stop,time_stop
USDJPY,2025-12-19 12:00:00+00:00,short,157.32000000000005,timeout,-0.1879999999998745,1.712000000000046,time_stop,time_stop
USDJPY,2025-12-19 12:15:00+00:00,short,157.32000000000005,timeout,-0.15999999999991132,1.712000000000046,time_stop,time_stop
USDJPY,2026-03-02 15:45:00+00:00,short,157.73600000000008,timeout,-0.11199999999985266,1.7910000000000537,time_stop,time_stop
USDJPY,2026-03-02 16:00:00+00:00,short,157.73600000000008,timeout,-0.21599999999983766,1.7910000000000537,time_stop,time_stop
USDJPY,2026-03-02 16:15:00+00:00,short,157.73600000000008,timeout,-0.16399999999987358,1.7910000000000537,time_stop,time_stop
